fedid,name,ligue,zip,city,outdoor,indoor,countPlayers,countPlayers1AN,countTeams,countTeams1AN,school
01670005,AS CHEMINOTS DE STRASBOURG,BAS RHIN,67000,STRASBOURG,3,1,58,66,3,6,Oui
01670012,TENNIS CLUB EUROPE,BAS RHIN,67000,STRASBOURG,4,0,47,138,0,1,Oui
01670008,ILL T.C. STRASBOURG,BAS RHIN,67000,STRASBOURG ROBERTSAU,4,5,638,679,11,28,Oui
01670011,T.C. MEINAU,BAS RHIN,67100,STRASBOURG,8,2,268,285,7,23,Oui
01670186,S.L. CONSTANTIA,BAS RHIN,67100,STRASBOURG,2,0,9,9,0,2,Oui
01670019,T.C. NIEDERBRONN,BAS RHIN,67110,NIEDERBRONN,4,1,69,84,3,10,Oui
01670139,A.S. ET C.BREUCHWICKERSHEIM,BAS RHIN,67112,BREUCHWICKERSHEIM,2,0,65,89,1,12,Oui
01670287,TENNIS CLUB DE PLOBSHEIM,BAS RHIN,67115,PLOBSHEIM,3,2,152,158,6,18,Oui
01670298,FURDENHEIM AS CULT. SP. LOISIR,BAS RHIN,67117,FURDENHEIM,2,0,51,82,2,9,Oui
01670059,A.S. GEISPOLSHEIM-GARE,BAS RHIN,67118,GEISPOLSHEIM GARE,4,2,188,244,9,26,Oui
01670263,SPORT ET DETENTE DORLISHEIM,BAS RHIN,67120,DORLISHEIM,2,0,21,26,1,2,Non
01670174,LA CONCORDE 1913 DUTTLENHEIM,BAS RHIN,67120,DUTTLENHEIM,2,0,36,43,1,3,Oui
01670023,TCVB SCHIRMECK,BAS RHIN,67130,SCHIRMECK,4,2,162,215,6,19,Oui
01670129,T.C. D'ANDLAU,BAS RHIN,67140,ANDLAU,2,0,8,29,1,3,Oui
01670016,TC ERSTEIN,BAS RHIN,67150,ERSTEIN,4,1,220,224,7,18,Oui
01670245,CERCLE ST-ETIENNE HINDISHEIM,BAS RHIN,67150,HINDISHEIM,2,0,7,33,0,2,Non
01670202,SPORT DETENTE NORDHOUSE,BAS RHIN,67150,NORDHOUSE,2,0,15,14,1,2,Oui
01670347,TC SCHLEITHAL,BAS RHIN,67160,SCHLEITHAL,2,1,93,101,6,19,Oui
01670219,TENNIS CLUB STEINSELTZ,BAS RHIN,67160,STEINSELTZ,2,0,48,87,10,19,Oui
01670325,T.C. BERNOLSHEIM,BAS RHIN,67170,BERNOLSHEIM,1,0,0,6,0,0,Non
01670018,T.C. MOLSHEIM MUTZIG,BAS RHIN,67190,MUTZIG,8,3,278,317,3,21,Oui
01670056,F C KRONENBOURG,BAS RHIN,67200,STRASBOURG,5,2,194,223,7,27,Oui
01670290,TC DES ROMAINS,BAS RHIN,67200,STRASBOURG,4,2,127,152,2,6,Oui
01670149,T.C. ECKBOLSHEIM,BAS RHIN,67201,ECKBOLSHEIM,2,1,136,131,3,10,Oui
01670150,TC ACHENHEIM,BAS RHIN,67204,ACHENHEIM,3,0,11,14,2,3,Non
01670052,T.C. COLLINE MITTELHAUSBERGEN,BAS RHIN,67206,MITTELHAUSBERGEN,3,1,78,105,3,8,Oui
01670060,T.C. DE LA VALLEE DE VILLE,BAS RHIN,67220,VILLE,4,2,113,105,6,17,Oui
01670292,WESTHOUSE TENNIS CLUB,BAS RHIN,67230,WESTHOUSE,3,1,120,109,8,19,Oui
01670230,TENNIS CLUB GRIES,BAS RHIN,67240,GRIES,2,1,59,81,5,10,Oui
01670175,T.C. KURTZENHOUSE,BAS RHIN,67240,KURTZENHOUSE,1,1,11,20,1,1,Non
01670203,T C DE SCHIRRHEIN SCHIRRHOFFEN,BAS RHIN,67240,SCHIRRHEIN,2,0,35,45,1,6,Oui
01670320,HUNSPACH T.C.,BAS RHIN,67250,HUNSPACH,2,0,22,30,1,2,Oui
01670134,T C SOULTZ/FORETS,BAS RHIN,67250,SOULTZ SOUS FORETS,2,0,38,32,0,3,Oui
01670211,TENNIS CLUB HERBITZHEIM,BAS RHIN,67260,HERBITZHEIM,2,2,91,107,3,7,Oui
01670095,T.C. SARRE UNION,BAS RHIN,67260,SARRE-UNION,2,1,55,81,2,3,Oui
01670250,AS SOCIO CULTURELLE SPORTIVE DE DURNINGEN-KIENHEIM,BAS RHIN,67270,KIENHEIM,2,0,39,59,0,0,Oui
01670226,TENNIS CLUB URMATT,BAS RHIN,67280,URMATT,2,1,149,128,4,11,Oui
01670026,TC SCHILTIGHEIM,BAS RHIN,67300,SCHILTIGHEIM,4,5,360,391,13,38,Oui
01670178,WESTHOFFEN-TRAENHEIM TC,BAS RHIN,67310,WESTHOFFEN,4,0,88,82,3,11,Oui
01670232,DOSSENHEIM TENNIS CLUB,BAS RHIN,67330,DOSSENHEIM/ZINSEL,2,2,61,53,2,6,Non
